"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-20 ~ 2026-06-27"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"58","경기도 부천시 오정구 원종동","474","0474","0000","원종승윤노블리안","61.7500","202606","26","46,500","-","5","개인","개인","2022","소사로 809","-","직거래","-","-"
"59","경상남도 양산시 물금읍 가촌리","1304-1","1304","0001","양산대방노블랜드8차로얄카운티","84.9935","202606","26","52,500","-","31","개인","개인","2018","야리로 50","-","중개거래","경남 양산시","-"
"60","경기도 평택시 세교동","573","0573","0000","힐스테이트 평택 1차","84.8700","202606","26","39,500","-","13","개인","개인","2018","세교6로 46","-","중개거래","경기 평택시","-"
"61","부산광역시 해운대구 반여동","1619","1619","0000","센텀롯데캐슬아파트","84.9700","202606","26","39,000","-","4","개인","개인","2004","반여로 133","-","중개거래","부산 해운대구","-"
"62","광주광역시 남구 진월동","388","0388","0000","호반","32.1600","202606","26","4,750","-","4","개인","개인","1999","서문대로663번안길 2","-","중개거래","광주 남구","-"
"63","경상북도 칠곡군 왜관읍 석전리","561","0561","0000","왜관한빛타운","59.9900","202606","26","8,500","-","3","개인","개인","2000","석전로 77","-","직거래","-","-"
"64","경기도 남양주시 다산동","6251","6251","0000","다산신안인스빌퍼스트리버","84.9650","202606","26","90,000","-","22","개인","개인","2019","다산지금로146번길 100","-","중개거래","경기 남양주시","-"
"65","부산광역시 금정구 남산동","35-8","0035","0008","삼성","49.1400","202606","26","14,000","-","13","개인","개인","1992","금단로 136","-","중개거래","부산 금정구","-"
"66","경기도 화성시 동탄구 영천동","651-1397","0651","1397","동탄퍼스트파크","72.5957","202606","26","49,800","-","6","개인","개인","2003","동탄순환대로30길 8","-","중개거래","경기 용인시 수지구, 경기 화성시 동탄구","-"
"67","경기도 광주시 태전동","228-1","0228","0001","성원5","134.9350","202606","26","43,000","-","2","개인","개인","2002","태봉로 62","-","중개거래","경기 광주시, 서울 송파구","-"
"68","인천광역시 미추홀구 도화동","987","0987","0000","도화역금강펜테리움센트럴파크","59.5000","202606","26","36,000","-","8","개인","개인","2020","송림로257번길 6","-","중개거래","인천 미추홀구","-"
"69","경기도 고양시 일산서구 주엽동","90","0090","0000","강선마을17단지동성","84.9700","202606","26","52,000","-","10","개인","개인","1994","호수로 710","-","중개거래","경기 고양시 일산서구","-"
"70","경상남도 창원시 진해구 풍호동","305-8","0305","0008","창원마린푸르지오1단지","103.9696","202606","26","47,500","-","6","개인","개인","2015","천자로 386","-","중개거래","경남 창원시 진해구","-"
"71","경기도 시흥시 산현동","520","0520","0000","호반베르디움더숲","84.9600","202606","26","54,000","-","18","개인","개인","2019","목감둘레로 80","-","중개거래","경기 시흥시","-"
